Исходный список работ сетевого графика
         A         B         t
     -1000        15         0
     -1000        17         0
     -1000       100         0
        15        40         7
        17        10         0
       100        31        13
       100         2         8
       100        35         9
        40        11         4
        10         3         3
        31        30         6
        31        35         7
        31         8        10
         2         8         6
         2        10         9
         2        31         4
        35        30         9
        35        40        10
        35        11         6
        11        20        17
        11         1         6
         3         1         5
        30        11        13
        30         1         5
        30         3         4
        30        40         8
         8         3         8
         8        30         3
         8         3         8
         1        20        13

Параметры событий СГ
   Событие    Ранний   Поздний    Резерв
     -1000         0         0         0
         1        48        48         0
         2         8         9         1
         3        33        43        10
         8        23        26         3
        10        17        40        23
        11        42        42         0
        15         0        31        31
        17         0        40        40
        20        61        61         0
        30        29        29         0
        31        13        13         0
        35        20        20         0
        40        37        38         1
       100         0         0         0

Длина критического пути = 61

Параметры работ СГ
              Работа   Продолжительность    Полный    Независимый
        [-1000 - 15]                   0        31              0
        [-1000 - 17]                   0        40              0
       [-1000 - 100]                   0         0              0
           [15 - 40]                   7        31             -1
           [17 - 10]                   0        40            -23
          [100 - 31]                  13         0              0
           [100 - 2]                   8         1              0
          [100 - 35]                   9        11             11
           [40 - 11]                   4         1              0
            [10 - 3]                   3        23            -10
           [31 - 30]                   6        10             10
           [31 - 35]                   7         0              0
            [31 - 8]                  10         3              0
             [2 - 8]                   6        12              8
            [2 - 10]                   9        23             -1
            [2 - 31]                   4         1              0
           [35 - 30]                   9         0              0
           [35 - 40]                  10         8              7
           [35 - 11]                   6        16             16
           [11 - 20]                  17         2              2
            [11 - 1]                   6         0              0
             [3 - 1]                   5        10              0
           [30 - 11]                  13         0              0
            [30 - 1]                   5        14             14
            [30 - 3]                   4        10              0
           [30 - 40]                   8         1              0
             [8 - 3]                   8        12             -1
            [8 - 30]                   3         3              0
             [8 - 3]                   8        12             -1
            [1 - 20]                  13         0              0

Cписок работ всех критических путей СГ
              Работа   Продолжительность    Полный    Независимый
       [-1000 - 100]                   0         0              0
          [100 - 31]                  13         0              0
           [31 - 35]                   7         0              0
           [35 - 30]                   9         0              0
            [11 - 1]                   6         0              0
           [30 - 11]                  13         0              0
            [1 - 20]                  13         0              0
